"CASE","SERIAL","REF","QUESTNNR","MODE","STARTED","SD01","SD02_01","SD08","SD08_01","DS01_01","DS01_02","DS01_03","DS01_04","DS01_05","DS01_07","DS01_06","MI01_01","MI02_01","MI03_01","MI03_02","MI04_03","MI05_01","MI05_02","MI07_01","MI09_01","MI10_01","MI14_02","ST01_01","ST01_02","ST01_03","ST01_04","ST01_05","ST01_06","ST01_07","ST01_08","ST02_01","ST02_02","ST02_03","ST02_04","ST02_05","ST03_01","ST03_02","ST03_03","ST03_04","ST03_05","ST03_06","ST03_07","ST03_08","ST04_01","ST04_02","ST04_03","ST04_04","ST04_05","ST04_06","ST04_07","UQ01","UQ01x01","UQ01x02","UQ01x03","UQ01x04","UQ01x05","PL01_01","TIME001","TIME002","TIME003","TIME004","TIME005","TIME006","TIME007","TIME008","TIME_SUM","MAILSENT","LASTDATA","FINISHED","Q_VIEWER","LASTPAGE","MAXPAGE","MISSING","MISSREL","TIME_RSI","DEG_TIME"
96,,,"smartphone_EN","interview",2022-06-05 12:14:12,1,37,1,2,5,5,5,4,4,1,4,3,5,5,5,1,5,5,1,4,2,1,1,5,3,4,1,5,5,5,5,4,4,4,5,3,,3,4,4,4,5,4,5,5,5,5,5,4,,4,"Is the camera any good?","How good is the battery life?","What are my options for paying?","What colours does it come in?",,"60cbbae94567a985b2648726",6,12,32,24,30,71,47,55,277,,2022-06-05 12:18:49,1,0,8,8,0,0,1.01,4
97,,,"smartphone_EN","interview",2022-06-05 12:14:32,1,42,1,2,4,4,4,2,2,1,3,3,4,4,3,4,4,3,5,4,4,1,2,4,2,4,2,5,5,5,4,4,4,4,5,4,3,4,2,2,3,5,4,4,4,4,2,2,4,3,3,"How much is the upfront cost? ","how much data is there? ","What is the montly cost? ",,,"5ae76ee9a740ff0001937dba",23,9,21,20,21,36,24,26,180,,2022-06-05 12:17:32,1,0,8,8,0,0,1.42,25
98,,,"smartphone_EN","interview",2022-06-05 12:16:33,1,38,1,2,5,4,5,5,5,1,5,3,5,5,5,2,5,5,5,4,1,1,5,5,3,5,4,5,5,5,5,5,3,5,5,5,1,5,2,5,3,5,5,5,5,5,5,5,3,,5,"Is this the newest version of the smart phone?","Does the phone have a long battery life?","Is the camera on the phone good?","Is the phone easy to set up?","Does the phone have good security features?","5ce438ca825c71001ce02880",10,11,48,29,50,127,58,58,391,,2022-06-05 12:23:04,1,0,8,8,0,0,0.74,0
102,,,"smartphone_EN","interview",2022-06-07 10:14:44,1,50,1,2,4,4,4,2,2,1,3,3,4,3,4,3,4,5,3,4,3,1,3,4,3,4,4,3,5,5,5,3,3,4,4,4,2,4,1,2,2,5,5,5,4,2,4,4,3,2,5,"What operating system does the phone use","how large is the phone/screen","what are the colour choices","cost","battery life","5d73a0806a0a5100167d2b54",4,8,30,19,27,73,53,35,249,,2022-06-07 10:18:53,1,0,8,8,0,0,1.24,14
103,,,"smartphone_EN","interview",2022-06-07 10:14:50,2,21,1,2,5,5,5,4,4,5,3,2,4,5,3,1,4,5,2,4,4,1,2,5,4,4,4,4,5,5,5,4,4,4,4,4,3,4,4,4,3,5,4,4,4,5,5,5,4,4,5,"What is the warranty of the phone?","What is the quality of the camera?","How much internal storage does the phone have?","How long does the phone take to charge?","What colours does the phone come in?","609fa46350e47e8c8a5fb830",7,12,89,41,47,147,296,48,428,,2022-06-07 10:26:17,1,0,8,8,0,0,0.65,1
104,,,"smartphone_EN","interview",2022-06-07 10:15:03,2,38,1,2,4,4,4,2,3,1,2,2,4,4,4,2,4,4,4,4,3,1,4,5,5,5,2,5,5,5,5,5,2,2,4,3,2,3,3,4,3,5,5,5,5,5,5,5,3,3,3,"DO you have a phone with large memory","Can the phone sync with my smart devices","Whats the battery run time",,,"60aab5962c85a00f1bc9631c",5,7,451,26,83,346,28,27,554,,2022-06-07 10:31:16,1,0,8,8,0,0,0.94,12
105,,,"smartphone_EN","interview",2022-06-07 10:15:08,1,47,1,2,5,5,4,2,2,5,2,1,3,5,4,2,5,4,3,4,3,1,2,5,1,4,1,3,5,5,5,4,3,5,3,2,1,2,3,5,1,3,3,4,4,5,4,4,3,1,3,"What is the best tarrif","Can I make the font bigger","What is the memory capacity",,,"5cb77c0fd415ff0016405e9b",5,7,27,21,30,64,44,40,238,,2022-06-07 10:19:06,1,0,8,8,0,0,1.22,13
106,,,"smartphone_EN","interview",2022-06-07 10:15:10,2,32,1,2,4,4,5,2,2,1,2,1,4,4,4,2,4,4,3,3,2,1,3,5,3,4,2,3,5,5,4,3,4,5,4,4,3,4,4,4,4,5,5,5,5,5,5,5,4,5,5,"How good is the camera?","How big is the memory?","Is there scope to add a memory card?","How big is the screen?","Does it come in different colours?","5992edfc3ae1c8000110610b",6,6,33,23,25,47,21,23,184,,2022-06-07 10:18:14,1,0,8,8,0,0,1.48,24
107,,,"smartphone_EN","interview",2022-06-07 10:15:12,1,35,1,2,4,4,3,2,4,1,4,4,2,3,3,4,4,3,1,4,3,1,1,5,2,2,3,4,5,5,4,4,3,4,5,3,3,3,3,3,5,5,3,5,4,4,5,5,5,,5,"How much is the contract","how big is the memory","what is the camera resolution","how much is the insurance","how long is the contract","5f32fa63575cf50db8d2cc90",3,13,20,9,20,60,30,33,188,,2022-06-07 10:18:20,1,0,8,8,0,0,1.65,34
108,,,"smartphone_EN","interview",2022-06-07 10:15:13,1,35,1,2,5,4,5,3,3,1,2,2,5,4,5,3,5,4,3,5,3,1,3,5,3,4,1,1,5,5,5,2,2,2,3,4,2,3,5,5,3,5,3,3,5,5,4,4,4,3,5,"How good is the camera?","How long does the battery last?","How much storage?","Does it come in different colours?","Does it have headphones?","5e6e6df77fa76d000ba0f155",5,8,36,19,31,94,29,31,253,,2022-06-07 10:19:26,1,0,8,8,0,0,1.2,11
109,,,"smartphone_EN","interview",2022-06-07 10:15:19,1,28,1,2,5,5,5,3,3,3,4,1,5,5,4,2,5,5,5,5,5,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,"which operating system does it use?","how is the camera quality?<br>","how big is the phone?","how many cameras does it have?","what is the camera quality","5fb5162661f800372c24a3f5",5,24,76,199,75,84,60,50,398,,2022-06-07 10:24:52,1,0,8,8,0,0,0.69,5
110,,,"smartphone_EN","interview",2022-06-07 10:15:19,2,39,1,2,4,3,3,3,3,1,4,4,3,5,5,1,3,4,1,4,4,1,4,4,4,4,2,4,5,5,5,4,4,4,5,4,,5,4,4,2,5,4,5,5,3,5,5,4,4,4,"What is the storage?","What price plans are available on that model?","Am I due an upgrade?","How does it compare to other comparable models?",,"5caf23c113dcf90016ad24ad",13,8,26,19,37,89,33,36,261,,2022-06-07 10:19:40,1,0,8,8,0,0,1.07,7
111,,,"smartphone_EN","interview",2022-06-07 10:15:19,1,34,1,2,5,5,5,5,5,1,5,1,5,4,5,2,5,4,2,5,4,1,5,5,5,5,1,5,5,5,5,4,5,5,5,1,3,3,5,5,4,5,5,5,5,5,5,5,4,,5,"What MP camera does the phone have?. I awlays take photos on my phone.","Is the phone waterproof? I can be a bit clumsy sometimes.","Is the phone shatterproof? Again clumsy.","How much storage does the phone have? I take lots of photos","What colours does the phone come in? I like a colourful phone.","5f2aa1f221e0b130418a9093",21,7,40,36,42,407,40,43,636,,2022-06-07 10:25:55,1,0,8,8,0,0,0.77,4
112,,,"smartphone_EN","interview",2022-06-07 10:15:20,1,65,1,2,4,4,4,4,4,1,4,2,5,4,4,3,4,3,5,4,3,1,1,3,2,2,1,4,5,5,5,3,1,2,5,2,3,2,2,3,1,5,1,4,4,3,3,3,2,,5,"How much does it cost?","How many unlimited texts does it have?","Is there a contract?","How long is the contract for?","What happens to the smartphone at the end of the contract?","5c1fcda0da51990001e15c54",8,14,45,42,43,95,53,69,369,,2022-06-07 10:21:29,1,0,8,8,0,0,0.75,0
113,,,"smartphone_EN","interview",2022-06-07 10:15:22,1,62,1,2,4,4,4,3,4,1,2,3,3,4,3,1,4,3,1,4,3,1,1,5,4,3,3,5,5,5,5,3,3,5,5,3,3,3,3,5,3,5,3,5,5,5,5,5,3,,5,"Which is your cheapest smartphone?","Which of your smartphones is the simplest?","Do you hae a small, lightweight smartphone?","Do you have a smartphone with a simple but good camera?","Whic smartphone is the most reliable?","571de7af13b1b70009be2f26",8,12,34,22,27,144,58,42,347,,2022-06-07 10:21:09,1,0,8,8,0,0,0.9,1
114,,,"smartphone_EN","interview",2022-06-07 10:15:22,2,30,1,2,5,4,4,3,3,1,2,2,4,4,4,2,4,4,2,4,5,1,3,4,3,4,2,4,5,5,4,2,2,2,5,4,2,4,3,4,2,5,4,5,5,5,5,5,4,5,5,"How resistant is it to damage? (Being dropped etc.)<br>","How long is the battery life?","How fast is it?","How good is the camera?","What's the storage memory size?","5ff0bcb250c73d4aad16886f",2,9,22,15,16,51,24,21,160,,2022-06-07 10:18:02,1,0,8,8,0,0,1.79,46
115,,,"smartphone_EN","interview",2022-06-07 10:15:23,1,23,1,2,5,5,5,3,5,1,3,2,4,2,5,3,4,4,2,4,3,1,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,4,5,5,"Does the have a smart charger?","how long does the battery last?<br>","is it good for playing games on it?","how many tabs can I open at the same time?<br>","will get slow over time?","5fba3b4fcac8229a36e7cabe",24,19,48,42,137,247,90,40,647,,2022-06-07 10:26:10,1,0,8,8,0,0,0.51,0
116,,,"smartphone_EN","interview",2022-06-07 10:15:25,1,41,1,2,3,2,3,4,3,1,4,2,4,4,3,2,4,3,3,4,3,1,4,3,1,3,1,4,4,5,3,4,4,4,4,3,,4,3,3,2,4,2,3,3,4,4,5,3,,5,"How much does it cost?","What storage space does it hold?","What contact is it on?","What screen size is it?","What is the camera like?","59a9abfb2ab6b80001a7df7f",6,9,29,23,28,71,30,39,235,,2022-06-07 10:19:20,1,0,8,8,0,0,1.16,8
117,,,"smartphone_EN","interview",2022-06-07 10:15:25,1,33,1,2,5,5,5,3,3,1,5,5,5,5,5,5,5,5,5,4,5,1,3,5,5,5,4,3,5,5,3,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,3,"Battery life","How is the camera","Durability",,,"607184500f0f361d7c1d48e1",10,13,43,41,17,261,41,34,460,,2022-06-07 10:23:05,1,0,8,8,0,0,0.88,5
118,,,"smartphone_EN","interview",2022-06-07 10:15:26,1,32,1,2,5,5,5,4,4,1,4,4,3,5,4,5,5,5,5,4,4,1,1,5,5,5,3,5,5,5,5,5,4,5,5,4,4,4,3,5,5,5,5,5,5,5,3,5,5,5,5,"Please can you tell me about the data included with the plan","What is different about this upgraded model to the last one?","What resolution is the camera?","How long will the battery last?","Do you have accessories to go with this phone eg: phone case","5f2cf802f44a7e2328fe7652",6,15,42,31,45,293,80,49,561,,2022-06-07 10:24:47,1,0,8,8,0,0,0.73,2
119,,,"smartphone_EN","interview",2022-06-07 10:15:27,2,31,1,2,5,5,5,4,4,1,4,1,5,5,3,3,5,5,3,5,5,1,1,5,5,5,3,5,5,5,5,5,3,4,5,5,4,5,5,4,3,5,5,5,5,5,5,5,5,5,4,"how long the battrey last?","how big is the memory?","how big is the storage?","is it water proof?",,"5fae30cda7efa227b8d84b72",129,26,43,74,705,108,59,42,389,,2022-06-07 10:35:13,1,0,8,8,0,0,0.5,0
120,,,"smartphone_EN","interview",2022-06-07 10:15:29,2,27,1,2,4,4,4,3,4,1,2,2,4,4,4,3,4,4,4,4,3,1,3,5,4,5,3,5,5,5,4,4,3,5,5,4,3,5,3,4,4,5,4,5,5,4,4,4,3,4,3,"Camera Quality","Phone processing speed","size of the phone",,,"5cca19fccb4dc60001d22e18",4,8,30,24,28,56,37,41,228,,2022-06-07 10:19:17,1,0,8,8,0,0,1.27,14
121,,,"smartphone_EN","interview",2022-06-07 10:15:35,1,24,1,2,5,5,5,5,3,1,2,2,4,4,3,1,5,5,3,5,3,1,3,5,5,5,2,5,5,5,3,4,3,3,5,3,4,4,5,5,5,5,1,5,5,4,5,5,3,3,5,"How much storage does the smartphone have? I need a lot of storage because I tend to download a lot of apps.","How good are the speakers on the smartphone? I need a phone with good speakers because I watch a lot of youtube videos on my phone.","How strong is the smartphone? I need a strong phone because I have accidentally dropped my phone in the past and I don't want a phone that breaks easily.","Does the smartphone have a good battery? I need a phone with a good battery because I don't want a phone that has a battery that drains quickly.","How is the video quality of the smartphone? I film a lot of videos for social media and I need a phone that can give me good quality videos. ","5c57c0dad3cc6b0001d9f27a",14,18,47,41,44,371,85,71,691,,2022-06-07 10:27:06,1,0,8,8,0,0,0.54,0
122,,,"smartphone_EN","interview",2022-06-07 10:15:36,1,66,1,2,4,5,4,2,2,1,1,1,4,4,5,2,4,3,2,4,4,1,1,5,3,4,1,4,5,5,5,3,5,5,4,5,5,3,3,3,3,5,3,5,5,5,5,5,3,3,3,"Do you have it in black?","Do you have a larger keypad?","Does it have a universal charger",,,"5fe848f115b59b69cf9b06b6",16,15,752,43,45,109,64,990,362,,2022-06-07 10:49:30,1,0,8,8,0,0,0.5,0
123,,,"smartphone_EN","interview",2022-06-07 10:15:39,1,36,1,2,4,4,4,3,4,1,3,2,3,4,4,3,4,4,4,3,3,1,2,5,5,4,1,5,5,5,5,4,4,4,4,3,3,3,5,5,3,5,1,5,5,4,3,3,4,,3,"do you have a phone thats lightweight","do you have a phone with a good camera","what is the battery life",,,"donlou185",8,16,38,31,38,88,45,41,305,,2022-06-07 10:20:44,1,0,8,8,0,0,0.86,1
125,,,"smartphone_EN","interview",2022-06-07 10:15:40,2,28,1,2,4,4,4,4,3,1,3,2,2,4,3,3,5,5,4,4,4,1,2,4,3,5,3,4,5,5,5,4,4,5,4,4,2,4,2,4,4,5,5,5,5,5,5,5,4,3,5,"How much memory does it have?","How big is it?<br>","What is the cost?","What camera specifications does it have?","Does it have any additional/unique features?","5eafe830cf726802582beaa7",4,10,98,21,19,48,28,47,275,,2022-06-07 10:20:15,1,0,8,8,0,0,1.28,19
126,,,"smartphone_EN","interview",2022-06-07 10:15:42,1,41,1,2,4,4,3,4,4,1,3,4,4,5,4,2,4,4,4,3,2,1,1,5,3,5,4,4,5,5,4,4,1,2,5,5,2,3,3,3,4,4,4,4,4,5,5,5,,,3,"How much is the monthly cost?","What is the warranty on the product?","What is included in the deal?  e.g. extra data allowance",,,"5f218810dbe587339609aee4",17,8,26,22,25,63,35,41,237,,2022-06-07 10:19:39,1,0,8,8,0,0,1.11,9
127,,,"smartphone_EN","interview",2022-06-07 10:15:43,2,34,1,2,5,5,5,4,4,1,4,3,3,5,4,1,5,5,5,5,4,1,5,5,5,5,5,5,5,5,5,4,4,4,4,4,1,5,4,5,4,5,5,5,5,5,5,5,5,5,5,"What is the size of the battery?","How quickly would it charge?","How fast is the phone? Ram, CPU etc","How much is the phone?","Is the phone unlocked?","603545fb3ca998b824a9f0ea",4,9,41,35,186,75,109,39,341,,2022-06-07 10:24:01,1,0,8,8,0,0,0.93,9
128,,,"smartphone_EN","interview",2022-06-07 10:15:44,2,30,1,2,5,5,5,2,2,1,2,1,4,3,4,1,5,5,1,5,3,1,1,3,3,5,2,3,5,5,5,4,2,3,5,4,1,1,3,3,2,5,4,4,4,5,3,4,2,,5,"How much does it cost?","Does it have Apple Pay?","How is the battery life on it?","Which operating system is it on?","Is this brand considered reliable?","613c7e6c99b8914185dc9934",3,9,24,20,28,126,44,52,306,,2022-06-07 10:20:50,1,0,8,8,0,0,1.22,15
129,,,"smartphone_EN","interview",2022-06-07 10:15:47,2,29,1,2,4,4,4,2,4,1,3,1,5,4,2,1,5,5,1,5,4,1,3,1,1,5,4,5,5,5,5,3,5,5,4,5,5,5,5,1,1,5,3,5,1,5,5,4,2,5,4,"Do they have the mini versions of the phone? because I never lose those","Any phone with more than 2gig ram?","Minus all the camera's what the best option?","What brand names they have? ",,"5f6a064fecc7cb03c2b61542",8,8,46,39,41,179,43,49,413,,2022-06-07 10:22:40,1,0,8,8,0,0,0.82,2
130,,,"smartphone_EN","interview",2022-06-07 10:15:48,1,23,1,2,2,2,2,4,4,1,3,2,4,4,2,1,2,2,1,4,2,1,2,5,3,4,2,4,5,5,5,4,2,4,5,4,2,4,2,4,4,5,4,4,5,4,3,4,2,2,5,"does the smartphone smash easy","does the smartphone battery last well","how good is the camera","how much storage","is the phone unlocked from any network","5d3d6f5098afa00019f63f83",3,9,13,83,12,58,27,34,239,,2022-06-07 10:19:47,1,0,8,8,0,0,1.65,37
131,,,"smartphone_EN","interview",2022-06-07 10:15:48,2,50,1,2,4,4,4,3,4,1,3,2,3,4,4,2,4,4,2,4,2,1,1,5,4,5,3,3,5,5,4,5,2,4,4,5,2,5,3,4,5,5,4,4,5,5,5,5,4,,5,"What is the quality of the camera/lense","What is the battery life","What is the memory","What features does the camera have","What is the weight/size","60d1a0e2551b5660575cdd64",30,10,75,41,47,195,52,123,573,,2022-06-07 10:25:21,1,0,8,8,0,0,0.56,1
132,,,"smartphone_EN","interview",2022-06-07 10:15:50,1,37,1,2,4,3,3,4,3,1,3,5,4,4,4,4,3,3,3,3,4,1,3,5,3,3,5,4,3,3,3,5,3,3,3,1,1,5,4,3,3,5,4,4,2,3,3,3,3,3,3,"What's the camera quality","Is it water proof","Can I use video calling?",,,"5da78f61a60c0d0017d6ed89",8,39,42,17,34,47,36,24,247,,2022-06-07 10:19:57,1,0,8,8,0,0,1.12,13
133,,,"smartphone_EN","interview",2022-06-07 10:15:54,1,42,1,2,4,4,4,3,3,1,3,2,4,4,4,3,3,2,3,3,1,1,2,5,3,2,3,3,5,5,4,5,4,3,4,1,1,3,1,5,5,5,2,5,5,5,5,5,3,4,3,"operating system","camera quality","how easy t use",,,"571073cced0d66001290077d",6,8,21,16,36,40,27,23,177,,2022-06-07 10:18:51,1,0,8,8,0,0,1.5,26
134,,,"smartphone_EN","interview",2022-06-07 10:15:55,1,23,1,2,5,5,4,3,4,1,2,1,5,3,4,3,4,5,4,5,4,1,1,5,5,4,,5,5,5,3,5,3,4,3,4,5,5,3,4,3,4,5,4,4,5,5,5,3,3,4,"What is the space of the smartphone?","Does it come with earphones?","Does it come with a head or do I have to buy them separately?","Is it a dual sim ?",,"600f4d6f796906128a17d781",32,76,72,50,61,209,78,64,577,,2022-06-07 10:26:37,1,0,8,8,0,0,0.42,0
